Pabrik,Tahun,Tipe,Pintu,Kursi,CC,Daerah,Harga
Suzuki,2014-2018,Manual,5,5,1197,Jabodetabek,109000000
Daihatsu,2014-2018,Manual,5,5,1197,Jabodetabek,110000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,111000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,111000000
Suzuki,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,111000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,112000000
Suzuki,2014-2018,Manual,5,5,1197,Jabodetabek,117000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,117000000
Toyota,2014-2018,Manual,5,5,1197,Luar Jabodetabek,118000000
Toyota,2014-2018,Manual,5,5,1197,Luar Jabodetabek,118000000
Daihatsu,2014-2018,Manual,5,5,1197,Jabodetabek,118000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,119000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,121000000
Daihatsu,2014-2018,Manual,5,5,1197,Luar Jabodetabek,121000000
Daihatsu,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,121000000
Suzuki,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,123000000
Toyota,2014-2018,Manual,5,5,1197,Jabodetabek,124000000
Toyota,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,128000000
Toyota,2014-2018,Automatic,5,5,1197,Luar Jabodetabek,132000000
Daihatsu,2019-2023,Manual,5,7,1197,Luar Jabodetabek,106000000
Daihatsu,2019-2023,Manual,5,7,1197,Jabodetabek,108000000
Toyota,2019-2023,Manual,5,7,1197,Jabodetabek,121000000
Toyota,2019-2023,Manual,5,7,1197,Luar Jabodetabek,126000000
Daihatsu,2019-2023,Manual,5,7,1197,Luar Jabodetabek,127000000
Toyota,2019-2023,Manual,5,5,1197,Jabodetabek,98000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,105000000
Toyota,2019-2023,Manual,5,5,1197,Jabodetabek,116500000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,117000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,118000000
Daihatsu,2019-2023,Manual,5,5,1197,Luar Jabodetabek,118000000
Daihatsu,2019-2023,Manual,5,5,1197,Luar Jabodetabek,118000000
Daihatsu,2019-2023,Manual,5,5,1197,Luar Jabodetabek,118000000
Daihatsu,2019-2023,Manual,5,5,1197,Luar Jabodetabek,120000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,120000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,120000000
Toyota,2019-2023,Manual,5,5,1197,Jabodetabek,121000000
Toyota,2019-2023,Manual,5,5,1197,Luar Jabodetabek,121000000
Suzuki,2019-2023,Manual,5,5,1197,Jabodetabek,122000000
Toyota,2019-2023,Manual,5,5,1197,Jabodetabek,123000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,123000000
Daihatsu,2019-2023,Manual,5,5,1197,Luar Jabodetabek,123000000
Toyota,2019-2023,Automatic,5,5,1197,Jabodetabek,125500000
Daihatsu,2019-2023,Automatic,5,5,1197,Jabodetabek,128000000
Toyota,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,130000000
Suzuki,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,135000000
Toyota,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,137000000
Suzuki,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,146000000
Suzuki,2019-2023,Automatic,5,5,1197,Jabodetabek,146000000
Suzuki,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,149000000
Suzuki,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,149000000
Suzuki,2019-2023,Automatic,5,5,1197,Jabodetabek,149000000
Daihatsu,2019-2023,Automatic,5,7,1197,Jabodetabek,129000000
Daihatsu,2019-2023,Automatic,5,7,1197,Jabodetabek,131000000
Toyota,2019-2023,Manual,5,7,1197,Jabodetabek,135000000
Toyota,2019-2023,Manual,5,7,1197,Jabodetabek,136000000
Toyota,2019-2023,Manual,5,7,1197,Jabodetabek,140000000
Toyota,2019-2023,Automatic,5,7,1197,Jabodetabek,142000000
Toyota,2019-2023,Automatic,5,7,1197,Jabodetabek,145000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,130000000
Toyota,2019-2023,Manual,5,5,1197,Luar Jabodetabek,136000000
Daihatsu,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,139000000
Daihatsu,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,140000000
Daihatsu,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,141000000
Suzuki,2019-2023,Automatic,5,5,1197,Jabodetabek,142000000
Suzuki,2019-2023,Automatic,5,5,1197,Jabodetabek,156000000
Toyota,2019-2023,Manual,5,7,1197,Luar Jabodetabek,135000000
Toyota,2019-2023,Automatic,5,7,1197,Luar Jabodetabek,139500000
Toyota,2019-2023,Automatic,5,7,1197,Luar Jabodetabek,142000000
Toyota,2019-2023,Manual,5,7,1197,Jabodetabek,145000000
Toyota,2019-2023,Manual,5,5,1197,Jabodetabek,123000000
Daihatsu,2019-2023,Manual,5,5,1197,Luar Jabodetabek,124000000
Daihatsu,2019-2023,Automatic,5,5,1197,Jabodetabek,136000000
Toyota,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,145000000
Suzuki,2019-2023,Manual,5,5,1197,Luar Jabodetabek,148000000
Suzuki,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,175000000
Daihatsu,2019-2023,Manual,5,7,1197,Jabodetabek,134000000
Daihatsu,2019-2023,Manual,5,7,1197,Jabodetabek,136000000
Daihatsu,2019-2023,Automatic,5,7,1197,Jabodetabek,147000000
Daihatsu,2019-2023,Automatic,5,7,1197,Jabodetabek,149000000
Toyota,2019-2023,Automatic,5,7,1197,Jabodetabek,160000000
Daihatsu,2019-2023,Manual,5,5,1197,Jabodetabek,130000000
Toyota,2019-2023,Manual,5,5,1197,Luar Jabodetabek,138000000
Toyota,2019-2023,Manual,5,5,1197,Jabodetabek,138000000
Daihatsu,2019-2023,Automatic,5,5,1197,Jabodetabek,149000000
Toyota,2019-2023,Automatic,5,5,1197,Luar Jabodetabek,157000000
Daihatsu,2019-2023,Manual,5,7,1197,Luar Jabodetabek,138000000
Honda,2014-2018,Manual,5,5,1198,Jabodetabek,112000000
Honda,2014-2018,Manual,5,5,1198,Jabodetabek,112000000
Honda,2014-2018,Manual,5,5,1198,Luar Jabodetabek,112000000
Honda,2014-2018,Automatic,5,5,1198,Jabodetabek,123000000
Honda,2014-2018,Manual,5,5,1198,Jabodetabek,113000000
Honda,2014-2018,Manual,5,5,1198,Luar Jabodetabek,119000000
Daihatsu,2019-2023,Automatic,5,5,1198,Jabodetabek,191000000
Daihatsu,2019-2023,Automatic,5,5,1198,Jabodetabek,198000000
Toyota,2019-2023,Automatic,5,5,1198,Luar Jabodetabek,198000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,129000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,131000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,131000000
Honda,2014-2018,Automatic,5,5,1199,Luar Jabodetabek,115000000
Honda,2014-2018,Manual,5,5,1199,Jabodetabek,124000000
Honda,2014-2018,Manual,5,5,1199,Jabodetabek,112000000
Honda,2014-2018,Manual,5,5,1199,Luar Jabodetabek,126000000
Honda,2014-2018,Manual,5,5,1199,Jabodetabek,127000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,128000000
Honda,2014-2018,Manual,5,5,1199,Jabodetabek,134000000
Honda,2014-2018,Manual,5,5,1199,Jabodetabek,137000000
Honda,2014-2018,Automatic,5,5,1199,Luar Jabodetabek,138000000
Honda,2014-2018,Manual,5,5,1199,Luar Jabodetabek,142000000
Honda,2014-2018,Automatic,5,5,1199,Luar Jabodetabek,142000000
Honda,2014-2018,Automatic,5,5,1199,Luar Jabodetabek,143000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,143000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,144000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,149000000
Honda,2014-2018,Automatic,5,5,1199,Jabodetabek,150000000
Honda,2019-2023,Manual,5,5,1199,Luar Jabodetabek,145000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,157000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,158000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,158000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,158000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,158000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,158000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,159000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,159000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,159000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,161000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,161000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,175000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,180000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,182000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,157000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,170000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,184000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,185000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,185000000
Honda,2019-2023,Manual,5,5,1199,Luar Jabodetabek,165000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,178000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,187000000
Honda,2019-2023,Automatic,5,5,1199,Jabodetabek,205000000
Honda,2019-2023,Automatic,5,5,1199,Luar Jabodetabek,189000000
Toyota,<=2013,Manual,5,7,1298,Jabodetabek,107500000
Daihatsu,<=2013,Automatic,5,7,1298,Luar Jabodetabek,104000000
Toyota,<=2013,Automatic,5,7,1298,Luar Jabodetabek,120000000
Daihatsu,<=2013,Automatic,5,7,1298,Jabodetabek,125000000
Daihatsu,<=2013,Manual,5,5,1298,Jabodetabek,78000000
Toyota,2014-2018,Manual,5,7,1298,Luar Jabodetabek,108000000
Toyota,2014-2018,Manual,5,7,1298,Luar Jabodetabek,110000000
Toyota,2014-2018,Manual,5,7,1298,Jabodetabek,124000000
Daihatsu,2014-2018,Manual,5,7,1298,Jabodetabek,135000000
Toyota,2014-2018,Automatic,5,7,1298,Jabodetabek,135000000
Daihatsu,2014-2018,Manual,5,2,1298,Jabodetabek,85000000
Daihatsu,2014-2018,Manual,5,8,1298,Jabodetabek,107500000
Toyota,2014-2018,Manual,5,7,1298,Luar Jabodetabek,134000000
Daihatsu,2014-2018,Manual,5,2,1298,Jabodetabek,97000000
Daihatsu,2014-2018,Manual,5,5,1298,Jabodetabek,105000000
Daihatsu,2014-2018,Manual,5,2,1298,Jabodetabek,89000000
Daihatsu,2014-2018,Manual,5,2,1298,Luar Jabodetabek,93000000
Daihatsu,2014-2018,Manual,5,8,1298,Luar Jabodetabek,107000000
Daihatsu,2014-2018,Manual,5,2,1298,Jabodetabek,125000000
Daihatsu,2019-2023,Manual,2,3,1298,Luar Jabodetabek,125000000
Daihatsu,2019-2023,Manual,5,8,1298,Luar Jabodetabek,165000000
Daihatsu,2014-2018,Manual,5,7,1329,Jabodetabek,115000000
Toyota,2014-2018,Automatic,5,7,1329,Jabodetabek,147000000
Toyota,2014-2018,Automatic,5,7,1329,Luar Jabodetabek,156000000
Daihatsu,2014-2018,Automatic,5,7,1329,Luar Jabodetabek,140000000
Toyota,2014-2018,Manual,5,7,1329,Luar Jabodetabek,158000000
Daihatsu,2019-2023,Manual,5,7,1329,Luar Jabodetabek,168000000
Daihatsu,2019-2023,Manual,5,7,1329,Jabodetabek,168000000
Toyota,2019-2023,Manual,5,7,1329,Luar Jabodetabek,173000000
Toyota,2019-2023,Automatic,5,7,1329,Luar Jabodetabek,178000000
Toyota,2019-2023,Automatic,5,7,1329,Luar Jabodetabek,185000000
Toyota,2019-2023,Automatic,5,7,1329,Luar Jabodetabek,190000000
Daihatsu,2019-2023,Manual,5,7,1329,Jabodetabek,165000000
Toyota,2019-2023,Manual,5,7,1329,Jabodetabek,180000000
Toyota,2019-2023,Automatic,5,7,1329,Jabodetabek,185000000
Daihatsu,2019-2023,Manual,5,7,1329,Jabodetabek,175000000
Daihatsu,2019-2023,Automatic,5,7,1329,Jabodetabek,179000000
Daihatsu,2019-2023,Automatic,5,7,1329,Luar Jabodetabek,189000000
Suzuki,2014-2018,Manual,5,5,1372,Jabodetabek,160000000
Suzuki,<=2013,Manual,5,7,1373,Jabodetabek,120000000
Suzuki,<=2013,Automatic,5,7,1373,Jabodetabek,115000000
Suzuki,<=2013,Manual,5,7,1373,Jabodetabek,121000000
Suzuki,<=2013,Manual,5,7,1373,Luar Jabodetabek,123000000
Suzuki,2014-2018,Automatic,5,7,1373,Luar Jabodetabek,119000000
Suzuki,2014-2018,Automatic,5,7,1373,Luar Jabodetabek,119000000
Suzuki,2014-2018,Manual,5,7,1373,Jabodetabek,125000000
Suzuki,2014-2018,Manual,5,7,1373,Jabodetabek,137000000
Suzuki,2014-2018,Automatic,5,7,1373,Luar Jabodetabek,140000000
Suzuki,2014-2018,Automatic,5,7,1373,Jabodetabek,142000000
Suzuki,2014-2018,Automatic,5,7,1373,Jabodetabek,157000000
Suzuki,2014-2018,Automatic,5,7,1373,Jabodetabek,160000000
Suzuki,2014-2018,Manual,5,7,1373,Luar Jabodetabek,153000000
Suzuki,2014-2018,Manual,5,7,1373,Luar Jabodetabek,154000000
Suzuki,2014-2018,Automatic,5,7,1373,Luar Jabodetabek,157000000
Suzuki,2014-2018,Automatic,5,7,1373,Luar Jabodetabek,165000000
Suzuki,2014-2018,Manual,5,5,1373,Luar Jabodetabek,154000000
Suzuki,2014-2018,Automatic,5,5,1373,Jabodetabek,172000000
Suzuki,2014-2018,Manual,5,7,1373,Luar Jabodetabek,157000000
Suzuki,2014-2018,Manual,5,7,1373,Luar Jabodetabek,160000000
Suzuki,2014-2018,Automatic,5,7,1373,Luar Jabodetabek,160000000
Suzuki,2014-2018,Automatic,5,7,1373,Jabodetabek,171000000
Suzuki,2014-2018,Automatic,5,5,1373,Jabodetabek,155000000
Suzuki,2014-2018,Automatic,5,5,1373,Luar Jabodetabek,166858974
Suzuki,2019-2023,Automatic,5,5,1373,Luar Jabodetabek,153000000
Suzuki,2019-2023,Automatic,5,5,1373,Luar Jabodetabek,178000000
Suzuki,2019-2023,Automatic,5,5,1373,Luar Jabodetabek,178800000
Suzuki,2019-2023,Automatic,5,5,1373,Jabodetabek,180000000
Suzuki,2019-2023,Automatic,5,5,1373,Luar Jabodetabek,181000000
Suzuki,2019-2023,Automatic,5,5,1373,Jabodetabek,181000000
Suzuki,2019-2023,Automatic,5,5,1373,Jabodetabek,181000000
Suzuki,2019-2023,Automatic,5,5,1373,Jabodetabek,181000000
Suzuki,2019-2023,Automatic,5,5,1373,Luar Jabodetabek,182000000
Suzuki,2019-2023,Automatic,5,5,1373,Luar Jabodetabek,189500000
Suzuki,2019-2023,Automatic,5,5,1373,Jabodetabek,198000000
Suzuki,2019-2023,Automatic,5,5,1373,Jabodetabek,169000000
Suzuki,2014-2018,Automatic,5,7,1462,Jabodetabek,169943396
Suzuki,2014-2018,Manual,5,7,1462,Jabodetabek,173000000
Suzuki,2014-2018,Automatic,5,7,1462,Jabodetabek,180000000
Suzuki,2019-2023,Manual,5,7,1462,Luar Jabodetabek,140000000
Suzuki,2019-2023,Manual,5,7,1462,Jabodetabek,140000000
Suzuki,2019-2023,Manual,5,7,1462,Luar Jabodetabek,152000000
Suzuki,2019-2023,Manual,5,7,1462,Luar Jabodetabek,166000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,168000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,185000000
Suzuki,2019-2023,Manual,5,7,1462,Jabodetabek,188000000
Suzuki,2019-2023,Manual,5,7,1462,Jabodetabek,188000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,189000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,195000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,201000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,204000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,188000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,193000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,214000000
Suzuki,2019-2023,Manual,2,3,1462,Jabodetabek,107000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,188000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,205000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,213000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,213000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,222000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,225000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,228000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,228000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,228000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jabodetabek,118000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,180000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,180000000
Suzuki,2019-2023,Manual,5,7,1462,Jabodetabek,190000000
Suzuki,2019-2023,Manual,5,7,1462,Jabodetabek,197000000
Suzuki,2019-2023,Manual,5,7,1462,Jabodetabek,207000000
Suzuki,2019-2023,Automatic,5,7,1462,Luar Jabodetabek,218500000
Suzuki,2019-2023,Manual,5,7,1462,Luar Jabodetabek,220000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,229000000
Suzuki,2019-2023,Automatic,5,7,1462,Jabodetabek,230000000
Suzuki,2019-2023,Manual,2,3,1462,Jabodetabek,111000000
Suzuki,2019-2023,Manual,2,3,1462,Jabodetabek,111000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jabodetabek,124000000
Mitsubishi,2014-2018,Manual,2,3,1468,Jabodetabek,79000000
Mitsubishi,2014-2018,Manual,2,3,1468,Jabodetabek,77500000
Suzuki,<=2013,Manual,5,5,1490,Jabodetabek,89000000
Suzuki,2014-2018,Automatic,5,5,1491,Jabodetabek,159000000
Suzuki,2014-2018,Automatic,5,5,1491,Jabodetabek,164000000
Suzuki,2014-2018,Automatic,5,5,1491,Jabodetabek,164000000
Suzuki,2014-2018,Automatic,5,5,1491,Luar Jabodetabek,169000000
Suzuki,2014-2018,Automatic,5,5,1491,Jabodetabek,192000000
Suzuki,2014-2018,Automatic,5,5,1491,Jabodetabek,215000000
Suzuki,2019-2023,Automatic,5,5,1491,Jabodetabek,199000000
Suzuki,2019-2023,Automatic,5,5,1491,Jabodetabek,202000000
Suzuki,2019-2023,Automatic,5,5,1491,Luar Jabodetabek,202000000
Suzuki,2019-2023,Automatic,5,5,1491,Jabodetabek,202000000
Suzuki,2019-2023,Manual,2,3,1493,Luar Jabodetabek,94000000
Toyota,<=2013,Automatic,5,7,1495,Luar Jabodetabek,99000000
Daihatsu,2014-2018,Manual,5,7,1495,Luar Jabodetabek,141000000
Toyota,2014-2018,Automatic,5,5,1495,Jabodetabek,135000000
Toyota,2014-2018,Automatic,5,5,1495,Luar Jabodetabek,150000000
Daihatsu,2014-2018,Manual,5,7,1495,Jabodetabek,149000000
Toyota,2014-2018,Manual,5,5,1495,Luar Jabodetabek,161000000
Toyota,2014-2018,Manual,5,5,1495,Jabodetabek,163000000
Toyota,2014-2018,Manual,5,5,1495,Luar Jabodetabek,169000000
Daihatsu,2014-2018,Manual,5,8,1495,Jabodetabek,159000000
Daihatsu,2014-2018,Manual,5,8,1495,Jabodetabek,159000000
Daihatsu,2014-2018,Automatic,5,7,1495,Jabodetabek,149500000
Daihatsu,2014-2018,Manual,5,7,1495,Luar Jabodetabek,129000000
Daihatsu,2014-2018,Automatic,5,7,1495,Luar Jabodetabek,170000000
Daihatsu,2014-2018,Automatic,5,7,1495,Luar Jabodetabek,170000000
Daihatsu,2014-2018,Automatic,5,7,1495,Luar Jabodetabek,170000000
Daihatsu,2019-2023,Manual,2,3,1495,Jabodetabek,114500000
Daihatsu,2019-2023,Manual,2,3,1495,Jabodetabek,135000000
Honda,<=2013,Automatic,5,5,1496,Jabodetabek,139000000
Honda,<=2013,Automatic,5,5,1496,Jabodetabek,138000000
Honda,<=2013,Automatic,5,5,1496,Jabodetabek,140000000
Honda,<=2013,Automatic,5,5,1496,Luar Jabodetabek,140000000
Honda,<=2013,Automatic,5,5,1496,Luar Jabodetabek,165000000
Toyota,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,141000000
Toyota,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,141000000
Honda,2014-2018,Manual,5,5,1496,Jabodetabek,145000000
Honda,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,123500000
Toyota,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,125000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,138000000
Honda,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,148000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,162500000
Honda,2014-2018,Manual,5,7,1496,Jabodetabek,139000000
Honda,2014-2018,Manual,5,7,1496,Luar Jabodetabek,141000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,148000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,159000000
Toyota,2014-2018,Automatic,5,5,1496,Jabodetabek,159500000
Honda,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,157000000
Honda,2014-2018,Manual,5,7,1496,Luar Jabodetabek,157000000
Toyota,2014-2018,Automatic,5,7,1496,Luar Jabodetabek,158500000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,160000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,163500000
Toyota,2014-2018,Automatic,5,7,1496,Jabodetabek,167000000
Toyota,2014-2018,Automatic,5,7,1496,Jabodetabek,168000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,170000000
Toyota,2014-2018,Automatic,5,7,1496,Jabodetabek,170000000
Toyota,2014-2018,Automatic,5,7,1496,Jabodetabek,170000000
Toyota,2014-2018,Automatic,5,7,1496,Jabodetabek,170000000
Honda,2014-2018,Automatic,5,7,1496,Jabodetabek,170229729
