Daihatsu,Honda,Suzuki,Mitsubishi,Manual,4 Pintu,5 Pintu,Luar Jabodetabek,2014-2018,2019-2023,CC,Harga
0,1,0,0,1,0,1,1,0,1,998,130000000
0,0,0,1,0,0,1,0,0,1,998,145000000
0,0,0,0,0,0,1,0,0,0,1197,105000000
0,0,1,0,0,0,1,1,1,0,1197,100000000
0,0,0,0,0,0,1,0,1,0,1197,111000000
0,0,0,0,1,0,1,1,1,0,1197,113000000
0,0,0,0,0,0,1,0,1,0,1197,114000000
0,0,0,0,0,0,1,0,1,0,1197,99000000
0,0,0,0,1,0,1,1,1,0,1197,107000000
0,0,1,0,0,0,1,1,1,0,1197,117000000
0,0,1,0,1,0,1,1,1,0,1197,117500000
0,0,1,0,0,0,1,1,1,0,1197,127500000
0,0,0,0,1,0,1,1,1,0,1197,111000000
1,0,0,0,1,0,1,1,1,0,1197,113000000
0,1,0,0,1,0,1,1,1,0,1197,115000000
0,1,0,0,1,0,1,1,1,0,1197,115000000
0,1,0,0,0,0,1,1,1,0,1197,116000000
0,1,0,0,0,0,1,1,1,0,1197,122000000
0,1,0,0,0,0,1,1,1,0,1197,129000000
0,1,0,0,0,0,1,1,0,0,1197,109000000
0,1,0,0,0,0,1,0,0,0,1197,116000000
0,1,0,0,0,0,1,0,0,0,1197,118000000
0,1,0,0,0,0,1,1,0,0,1197,126000000
0,0,0,0,0,0,1,0,0,0,1197,131000000
0,0,1,0,1,0,1,0,0,0,1197,106000000
0,0,1,0,0,0,1,1,0,0,1197,109000000
0,0,1,0,1,0,1,0,0,0,1197,109000000
0,0,1,0,1,0,1,0,0,0,1197,110000000
0,0,1,0,1,0,1,1,0,0,1197,111000000
0,0,1,0,1,0,1,1,0,0,1197,111000000
0,0,0,0,0,0,1,1,0,0,1197,111000000
0,0,0,0,1,0,1,1,0,0,1197,112000000
0,0,0,0,1,0,1,0,0,0,1197,117000000
0,0,1,0,1,0,1,1,0,0,1197,117000000
0,0,1,0,1,0,1,1,0,0,1197,118000000
0,0,0,0,1,0,1,1,0,0,1197,118000000
0,0,0,0,1,0,1,0,0,0,1197,118000000
0,0,0,0,1,0,1,1,0,0,1197,119000000
0,0,1,0,1,0,1,1,0,0,1197,121000000
0,0,1,0,1,0,1,1,0,0,1197,121000000
0,0,1,0,0,0,1,1,0,0,1197,121000000
0,0,1,0,0,0,1,1,0,0,1197,123000000
0,0,1,0,1,0,1,0,0,0,1197,124000000
0,0,1,0,0,0,1,1,0,0,1197,128000000
0,0,1,0,0,0,1,1,0,0,1197,132000000
0,0,1,0,1,0,1,1,0,1,1197,106000000
0,0,1,0,1,0,1,0,0,1,1197,108000000
0,0,1,0,1,0,1,0,0,1,1197,121000000
0,0,1,0,1,0,1,1,0,1,1197,126000000
0,0,1,0,1,0,1,1,0,1,1197,127000000
0,0,0,0,1,0,1,0,0,1,1197,98000000
0,1,0,0,1,0,1,0,0,1,1197,105000000
0,1,0,0,1,0,1,0,0,1,1197,116500000
0,1,0,0,1,0,1,0,0,1,1197,117000000
0,1,0,0,1,0,1,0,0,1,1197,118000000
0,0,0,0,1,0,1,1,0,1,1197,118000000
0,1,0,0,1,0,1,1,0,1,1197,118000000
0,1,0,0,1,0,1,1,0,1,1197,118000000
0,1,0,0,1,0,1,1,0,1,1197,120000000
0,0,0,0,1,0,1,0,0,1,1197,120000000
1,0,0,0,1,0,1,0,0,1,1197,120000000
1,0,0,0,1,0,1,0,0,1,1197,121000000
0,1,0,0,1,0,1,1,0,1,1197,121000000
1,0,0,0,1,0,1,0,0,1,1197,122000000
0,0,0,0,1,0,1,0,0,1,1197,123000000
0,0,0,0,1,0,1,0,0,1,1197,123000000
0,0,0,0,1,0,1,1,0,1,1197,123000000
0,0,0,0,0,0,1,0,0,1,1197,125500000
0,0,0,0,0,0,1,0,0,1,1197,128000000
0,0,0,0,0,0,1,1,0,1,1197,130000000
0,0,0,0,0,0,1,1,0,1,1197,135000000
0,0,0,0,0,0,1,1,0,1,1197,137000000
0,0,0,0,0,0,1,1,0,1,1197,146000000
0,0,0,0,0,0,1,0,0,1,1197,146000000
0,0,0,0,0,0,1,1,0,1,1197,149000000
0,1,0,0,0,0,1,1,0,1,1197,149000000
0,1,0,0,0,0,1,0,0,1,1197,149000000
0,0,0,0,0,0,1,0,0,1,1197,129000000
0,0,0,0,0,0,1,0,0,1,1197,131000000
0,0,0,0,1,0,1,0,0,1,1197,135000000
0,0,0,0,1,0,1,0,0,1,1197,136000000
0,0,0,0,1,0,1,0,0,1,1197,140000000
0,0,0,0,0,0,1,0,0,1,1197,142000000
0,0,0,0,0,0,1,0,0,1,1197,145000000
0,0,0,0,1,0,1,0,0,1,1197,130000000
0,0,0,0,1,0,1,1,0,1,1197,136000000
0,0,0,0,0,0,1,1,0,1,1197,139000000
0,0,0,0,0,0,1,1,0,1,1197,140000000
0,1,0,0,0,0,1,1,0,1,1197,141000000
0,1,0,0,0,0,1,0,0,1,1197,142000000
0,1,0,0,0,0,1,0,0,1,1197,156000000
0,1,0,0,1,0,1,1,0,1,1197,135000000
0,1,0,0,0,0,1,1,0,1,1197,139500000
0,1,0,0,0,0,1,1,0,1,1197,142000000
